ticker,date,price,volume,return_z,volume_ratio,rsi,composite_score,status_at_time
SENS,2026-08-09,7.019999980926514,2223600,2.989518537059132,3.9797753814488335,79.02735364070247,6.549840991322016,watching
SENS,2026-08-10,7.539999961853027,1703128,3.070032383140028,2.829438703480164,83.64610910468775,5.572393268713947,watching
SIL,2026-08-09,88.5,2741600,2.641875605276464,2.5980204024581504,75.9647559404281,4.759191126543177,watching
SIL,2026-08-10,90.27999877929688,1502101,2.876324966138445,1.3989559107524279,74.12496537197363,3.757780184330346,watching
SVV,2026-08-09,12.220000267028809,2947000,2.5984785786596385,2.8996487361388525,76.17021423381296,5.02153159947475,watching
SVV,2026-08-10,12.289999961853027,1747410,1.925641330368658,1.664516258089037,79.52070273550825,3.18057164316786,watching
TCPC,2026-08-09,4.110000133514404,1829200,4.365579379304323,2.26162215628091,85.15626105945788,6.330326756774391,watching
TCPC,2026-08-10,3.940000057220459,946765,3.2486219607157585,1.164649704936505,74.64789181705368,3.906229501993337,watching
TEAM,2026-08-09,149.07000732421875,20076100,3.830920462228359,3.955340106133249,75.3515734799541,7.29329203796069,watching
TEAM,2026-08-10,151.8699951171875,8644639,2.819299742298408,1.6511686698738495,80.3948831046243,4.078366074264744,watching
THH,2026-08-10,3.109999895095825,3911313,7.571332336122234,10.32113960961982,96.965038053049,17.831772706803033,watching
VAC,2026-08-09,123.47000122070312,1107300,2.522059925233032,2.210819498657296,77.22397237437332,4.277358871377794,watching
VAC,2026-08-10,113.23999786376953,544462,0.8132087732854456,1.0635932504291299,63.2973102198244,1.1427482281110635,watching
VREX,2026-08-10,18.459999084472656,13178728,5.752777810978897,13.388575171812926,95.52939970023215,19.051940976796466,watching
WPP,2026-08-09,27.549999237060547,1109300,3.7559344638448287,2.0423831792907907,80.99479479366086,5.418213539008836,watching
WPP,2026-08-10,26.690000534057617,733402,2.6327834822535574,1.3131988660037663,81.66168343234844,3.579216016904293,watching
XFOR,2026-08-09,4.639999866485596,1597000,2.584398453242527,2.518450766416452,80.3797465489281,4.7104441506375405,watching
XFOR,2026-08-10,4.25,629444,0.9968715724715043,0.9936332357344512,64.28571602345943,1.2825858929406928,watching
YJ,2026-08-09,3.400000095367432,50882800,7.143749292923813,19.90135914735504,84.25141323201217,26.730136704919097,watching
YJ,2026-08-10,2.700000047683716,4016636,4.337612892036374,1.456597581589549,67.93849601870852,5.152980394000093,watching
ZTG,2026-08-09,9.199999809265137,1312700,3.4620114759045,2.353479032576152,81.88559085792069,5.453202325639065,watching
ZTG,2026-08-10,9.300000190734863,1825876,3.5724706429822137,2.815998549029926,81.88559177292309,6.026181027470602,watching
